vocal_nonvocal - NLP (1)
Please Come Home for Christmas,So won't you tell me you'll never more roam Christmas and New Year's will find you home There'll be no more sorrow,,,,,,,,,
Tears in Heaven,Would you hold my hand If I saw you in heaven Would you help me stand,,,,,,,,,
Spicy,Get right here and now Yeah tell me Who tryna who tryna go go Who gon' drop it down like there's money on the floor Who tryna who tryna bust it for the dollars Who tryna freak bring their homegirl and run it She my spicy lil' mama she let me bust her piñata,,,,,,,,,
I Have Nothing,I have nothing nothing nothing Don't make me close one more door I don't want to hurt anymore,,,,,,,,,
Chamber of Reflection,Spend some time away Getting ready for the day you're born again Spend some time,,,,,,,,,
Overthinker,We confuse signs With the real world,< very little voice,,,,,,,,
Mystical Beginning,I admit I'm a shark circling In the dark for blood Let me get high off you high off you I've been sharpening my teeth Comin' up from underneath,,,,,,,,,
Here With You,And everybody hurts When I’m here with you When I’m here with you,,,,,,,,,
By My Side,Would you change your mind Would you be by my side,,,,,,,,,
Complexion,Even if massa listenin' cover your ears he 'bout to mention Complexion two-step Complexion don't mean a thing it's a Zulu love Ooh complexion two-step,,,,,,,,,
Tragic,Woulda did this on my own Coulda stayed my ass at home When your dick is tragic tragic Who was lying when they told you you was all that Now who was lying when they told ya And we had it oh,,,,,,,,,
Girls,Hey yo I'm Kyle what's your name Yeah Oh you a Libra I'm the same That's a lie yeah You got a man oh cool that's great Oh cool that's great that's great that's cool Quit playing haha You _ salty Himalayan,,,,,,,,,
Ain't Equal,How it's on sight And I don't never see you nowhere Bitch _ coming too strong Wait a minute hold on Wait wait Let him eat me out And still put him in the friend zone Ah ah Bitches wanna hang When they know they really hate me I'm still winning Even if you don't congratulate me Hah _ gettin' mad they can't hit boy This my pussy Boy what Stick the whole clip up in your throat And make you feel pussy Bitch I been popping doing numbers been lit,,,,,,,,,
Hey You!,Hey you with your earphones on in your bedroom And you're all alone Hey you Hey you on the catwalk With your high heels on But you're sad as fuck Hey you I'm I'm a joke,,,,,,,,,
iPhone,Backpedal on a peon yeah fire Got powers like Lil' Dion I'm Elon Musk hey Rollin' 'round in a Tesla yeah Can't fuck with them they extra skrrt I'm charged up I'm fired up and I'm rollin' 'roundheavy metal They wanna send me to the Heaven gates but I'm chillin' like a Devil devil,,,,,,,,,
Woods,I'm up in the woods I'm down on my mind I'm building a sill ,,,,,,,,,
Ticket To The Moon,You'll never know Ticket to the moon Ticket to the moon Ticket to the moon,,,,,,,,,
In Too Deep,Listen you know I love you but I just can't take this You know I love you but I'm playing for keeps Although I need you I'm not gonna make this You know I want to but I'm in too deep,,,,,,,,,
Future Sounds,"Devil lay down Devil, lay down This that level make devils pray now Hold up no peace hold up police Don't call police just stay focused Pray for new life pray for new breath Hey Lord make sure it's safe for who's left Know you can't find a place to rest",,,,,,,,,
All Caps,"Don't talk about my moms yo Sometimes he rhyme quick sometimes he rhyme slow Or vice versa Whip up a slice of nice verse pie Hit it on the first try
Villain the worst guy Spot hot tracks like spot a pair of fat asses Shots of the scotch from out of square shot glasses And he won't stop 'til he got the masses And show 'em what they know not through flows of hot ",,,,,,,,,
On Sight,Yeezy season approaching Fuck whatever y'all been hearing Fuck what fuck whatever y'all been wearing A monster about to come alive again Soon as I pull up and park the Benz We get this bitch shaking like Parkinsons Take my number and lock it in Indian hair no moccasins It's too many hoes ,,,,,,,,,
Burn,"bein' with someone else But you know that it's over, we knew it was through Let it burn Let it burn let it burn Let it burn gotta let it burn Sendin' pages I ain't supposed to Got somebody here but I want you 'Cause the feelin' ain't the same Find myself callin' her your name Ladies tell me do you understand",,,,,,,,,
War With Heaven,If I was away from you so long These drinks take over me They messin' with my head My insecurities 'Cause you ain't in my bed My bed I got a place for you,,,,,,,,,
Just Friends,Girl I know this might seem strange But let me know if I'm out of order for stepping to you this way See I've been watching you for a while And I just gotta let you know that I'm really,,,,,,,,,
Dark Knight Dummo,Pull up in a drop top she drop dead I pulled up in a drop top she drop dead My diamonds dancing hopscotch they holding hands My diamonds dancing hopscotch they holding hands Yeah hold up I don't know ,,,,,,,,,
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,,,,,,,,,
You Right,"I got a man but I want you I got a man but I want you And it's just nerves it's just dick Makin' me think 'bout someone new You know I got so much to say
I try to hide it in my face And it don't work you see through That I just want get wit' you And you're right You right I got my guy",,,,,,,,,
Only,"where the rock is These hoes couldn't test me even if their name was pop quiz Bad bitches who I fuck with, mad bitches we don't fuck with Idon't fuck with them chickens unless they last name is cutlet Let it soak in like seasonin' And tell 'em bitches blow me",,,,,,,,,
Need to Know 2,Wanna know what it's like like Baby show me what it's like like I don't really got no type type I just wanna fuck all night Yeah-yeah oh-whoa-whoa oh ooh mmm Baby I need to know mmm yeah need to know I just been fantasizin' size And we got a lotta time time,,,,,,,,,
Killing Me Softly With His Song,Strumming my pain with his fingers one time one time Singing my life with his words two times two times Killing me softly with his song Killing me softly,,,,,,,,,
Juicy,"for weeks Sold-out seats to hear Biggie Smalls speak Livin' life without fear
Puttin' five karats in my baby girl's ear Lunches brunches interviews by the pool Considered a fool 'cause I dropped out of high school Stereotypes of a black male misunderstood And it's still all good",,,,,,,,,
Happier Than Ever,don't try to make me feel bad I could talk about every time that you showed up on time But I'd have an empty line 'cause you never did Never paid any mind to my mother or friends So I shut 'em all out for you,,,,,,,,,
3005,Can't tell 'Cause when them checks clear they're not here 'Cause they don't care It's kinda sad but I'm laughing whatever happens Assassins I'm stabbed in the back of my cabin Labrador yapping I'm glad that it happened I mean it Between us I think there's something special And if I lose my mental just hold my hand Even if you don't understand hol' up,,,,,,,,,
Wet Dreamz,Man it wasn't nothin' like that first time She was in my math class Long hair brown skin with the fat ass Sat beside me used to laugh at mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe ,,,,,,,,,
The Spins,all red Wanna rush and go to bed You interrogate that bitch like you the feds So she says She in love with a rock star rock star Wanna smoke my weed So she asks me where the tops are tops are Oh oh oh top drawer haha yeah,,,,,,,,,
Violent Crimes,Colors drippin' off _ is savage _ is monsters _ is pimps _ is players 'Til _ have daughters now they precautious Father forgive me I'm scared of the karma 'Cause now I see women as somethin' to nurture,,,,,,,,,
Ghost Town,takes you further from me Some day we gon' set it off Some day we gon' get this off Baby don't you bet it all On a pack of Fentanyl You might think ,,,,,,,,,
Chill Bill,Rob $tone two damn phones Babylons can't crack the code no Used to sip out styrofoam But figured I should stick to dro weed Backwoods overload Don't like to smoke them swishers ho yup If you hit my liquor store It's fifty cents,,,,,,,,,
Lucid Dreams,No no no I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you oh Easier said than done I thought you were the one Listening to my heart,,,,,,,,,
Industry Baby,I told you long ago on the road I got what they waitin' for I don't run from nothin' dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top,,,,,,,,,
Night Changes,We're only gettin' older baby And I've been thinkin' about it lately Does it ever drive you crazy Just how fast the night changes Everything that you've ever dreamed of,,,,,,,,,
Champagne Problems,Your Midas touch on the Chevy door November flush and your flannel cure This dorm was once a madhouse I made a joke Well it's made for me How evergreen our group of friends Don't think we'll say that word again And soon ,,,,,,,,,
Wildest Dreams,My last request it is Say you'll remember me standing in a nice dress Staring at the sunset babe Red lips and rosy cheeks Say you'll see me again Even if it's just in your wildest dreams,,,,,,,,,
Stay,When I'm away from you I miss your touch ooh You're the reason I believe in love It's been difficult for me to trust ooh And I'm afraid that I'ma fuck it up Ain't no way that I can leave you stranded 'Cause you ain't never left me empty-handed,,,,,,,,,
God Shuffled His Feet,The people sipped their wine And what with God there They asked him questions Like Do you have to eat Or get your,,,,,,,,,
Falling,And I can't take it back I can't unpack the baggage you left What am I now What am I now What if I'm someone I don't want around I'm falling,,,,,,,,,
More,I'm alright I'll be fine I'm a liar 'Cause deep down I'm more than just miss you The truth is I'm more-oh-oh than just care Deep down I'm more than just need you Truth is I'm more-oh-oh,,,,,,,,,
Biblical,I don't know what I'd do So won't you give me tonight And the rest of your life I wanna have it all with you I wanna have it all with you,,,,,,,,,
Juice,Heard you say I'm not the baddest bitch you lie It ain't my fault that I'm out here getting loose Gotta blame it on the Goose Gotta blame it on my juice baby It ain't my fault that I'm out here making news I'm the pudding in the proof Gotta blame it on my juice,,,,,,,,,
Cover Me,So girl hang your dress out to dry We ain't leaving this room 'Til Percy Priest breaks open wide And the river runs,,,,,,,,,
Turning Page,Every kiss is a cursive line Every touch is a redefining phrase,,,,,,,,,
Gorgeous,I will never ever let you live this down down down Penitentiary chances the devil dances And eventually answers to the call of Autumn All of them fallin' for the love of ballin' Got caught with 30 rocks the cop look like Alec Baldwin Inter-century anthems,,,,,,,,,
Express Yourself,Or two before I'm through so don't try to sing this Some drop science while I'm dropping English Even if Yella makes it a-capella I still express yo I don't smoke weed or sess Cause it's known to give a brother brain damage And brain damage on the mic don't manage nothing But making a sucker and you equal,,,,,,,,,
Running on Empty,Gotta do what you can just to keep your love alive Trying not to confuse it with what you do to survive '69 I was 21 and I called the road my own,,,,,,,,,
Sing About Me I'm Dying Of Thirst,sing about me Promise that you will sing about me I woke up this morning and figured I'd call you In case I'm not here tomorrow I'm hoping that I can borrow A peace of mind I'm behind on what's really important My mind is really distorted I find nothing but trouble in my life I'm fortunate you believe in a dream,,,,,,,,,
Juicy 2,It was all a dream I used to read Word Up magazine Salt-n-Pepa and Heavy D up in the limousine Hangin' pictures on my wall Every Saturday Rap Attack Mr. Magic Marley Marl I let my tape rock 'til my tape popped Smokin' weed in Bambu sippin' on Private Stock Way back,,,,,,,,,
The Real Slim Shady,Y'all act like you never seen a white person before Jaws all on the floor like Pam like Tommy just burst in the door And started whoopin' her ass worse than before They first were divorced throwin' her over furniture ah It's the return of the ah wait no way you're kidding He didn't just say what I think he did did he And Dr. Dre said nothing you idiots Dr. Dre's dead,,,,,,,,,
When You Believe,"A small but still resilient voice Says ""Help is very near"" oh Oh There can be miracles Miracles When you believe Boy when you believe yeah Though hope is frail",,,,,,,,,
Empire State of Mind,Three dice Cee-lo three-card Monte Labor Day Parade rest in peace Bob Marley Statue of Liberty long live the World Trade come on come on come on Long live the king yo I'm from the Empire State that's In New York ayy ah-ha uh yeah Concrete jungle yeah where dreams are made of There's nothin' you can't do,,,,,,,,,
Good Life,"We put the bad in the past, now we alright Eazy Ayy ayy ayy ayy Kehlani I got you Ayy yeah And it's a feelin' that I can't explain I can't explain How you make it and your team still stay the same Stay down from the jump and they never change Man this a moment I could never trade yeah never trade I told my moms not to stress no more",,,,,,,,,
Jalebi Baby,Baby let me see it Jalebi baby I just wanna eat it Jalebi baby Baby let me see it Jalebi baby Know I really need it Jalebi oh Baby let me see it Jalebi baby I just wanna eat it,,,,,,,,,
360,I'll be waiting I'll be We still live in yesterday Many today are wasted away But nevertheless is never late Oh,,,,,,,,,
Bibanke,That's crazy,< rest is in different language,,,,,,,,
Rise,When when the fire's at my feet again And the vultures all start circling They're whispering You're out of time,,,,,,,,,
What A Wonderful World,I see them bloom for me and you And I think to myself what a wonderful world,,,,,,,,,
Stand Up,Early in the mornin' Before the sun begins to shine We're gonna start movin' Towards that,,,,,,,,,
Jungleland,Well the midnight gangs assembled And picked a rendezvous for the night They'll meet 'neath that giant Exxon sign That brings this fair city light Man there's an opera,,,,,,,,,
Pink Pony Club,Pink Pony Club I'm gonna keep on dancing at the Pink Pony Club I'm gonna keep on dancing down in West Hollywood I'm gonna keep on dancing at the Pink Pony Club Pink Pony Club,,,,,,,,,
Dreams,Oh thunder only happens when it's raining Players only love you when they're playing Say women,,,,,,,,,
Cheek to Cheek,Heaven I'm in heaven And my heart beats so that I can hardly speak And I seem to find the happiness ,,,,,,,,,
Blood On Me,My heart's thumpin' drummin' No need no need to take from me Don't throw the paint on me I see this lake formin' I got lost astray In this forest runnin' away,,,,,,,,,
A Song For Mama,You will always be the girl In my life for all times Mama mama you know I love you,,,,,,,,,
Drowning,Cause everytime I breath I take you in And my heart beats again Baby I can't help it You keep me drowning in your love Everytime I try to rise above,,,,,,,,,
In Circles,I won't save you,,,,,,,,,
Imagination,Imagination It's funny It makes the whole world,,,,,,,,,
Now You Know,When you are near The days appear too good to believe And each eve is Christmas eve,,,,,,,,,
We'll Be Together Again,Your smile Are memories I'll treasure forever So try thinking,,,,,,,,,
What Are You Doing The Rest of Your Life,I want to see your face in every kind of light In fields of gold and forests of the night And when you stand,,,,,,,,,
You Stepped Out of A Dream,And have you all to myself Alone and apart out of a dream Safe in my heart,,,,,,,,,
Undrunk,Wish I could get a little un-drunk so I could un-call you At 5 in the morning I would un-fuck you But some things you can't undo I wish I could un-kiss the room full of strangers So I could un-spite you un-lose my temper But some things you can't undo,,,,,,,,,
im so tired,I'm so tired of love songs tired of love songs Tired of love songs tired of love Just wanna go home wanna go home Wanna go home woah So tired of love songs tired of love songs Tired of love songs tired of love Just wanna go home wanna go home,,,,,,,,,
Someone You Loved,Now the day bleeds Into nightfall And you're not here To get me through it all I let my guard down And then you pulled the rug I was getting kinda used to being someone you loved,,,,,,,,,
Stacy,You can call me anything oh anything you want Just don't call me yours Just don't call me yours,,,,,,,,,
Loving is Easy,Loving is easy You had me fucked up It used to be so hard to see Yeah loving is easy When everything's perfect Please don't change a single little thing for me,,,,,,,,,
Never Seen the Rain,But you've never No you've never seen the rain And it gets you down But that's okay You've been pushed 'round You feel the pain And when you fall Just lean on me 'Cause you've never known,,,,,,,,,
Brazil,I heard he lives down a river somewhere With six cars and a grizzly bear He's got eyes but he can't see Well he talks like an angel but he looks like me Oh Lord,,,,,,,,,
Go Your Own Way,You can go your own way Go your own way You can call it Another lonely day You can go your own way Go your own way Tell me why,,,,,,,,,
Movement,So move me baby Shake like the bough of a willow tree You do it naturally Move me baby So move me baby,,,,,,,,,
Snow Hey Oh,Deep beneath the cover of another perfect wonder Where it's so white as snow Privately divided by a world so undecided And there's nowhere to go,,,,,,,,,
The Less I Know the Better,She said It's not now or never Wait ten years we'll be together I said Better late than never Just don't make me wait forever,,,,,,,,,
Georgia,And I could easily lose my mind The way you kiss me will work each time Pulling me back into the flames And I'm burning up again I'm burning up And I I never understood,,,,,,,,,
Twilight Time,Deepening shadows gather splendor As day is done Fingers of night will soon surrender The setting sun I count the moments darling 'Til you're here with me Together ,,,,,,,,,
