stim_name,lyrics,vadersenti_score,X,emotion,participant_ID,onset_time,stim_ID,vocal,onset_seconds,liking,familiarity,older_younger,age,sex,self_other,happy_sad,MCI,Multiple.Voices.,stim_order
34+35,Can you stay up all night all night Fuck me ’til the daylight Thirty-four thirty-five Yeah yeah yeah yeah Can we stay up all night Fuck a jet lag You bring your fine ass and overnight bag Add up the numbers or get behind that Play and rewind that listen you’ll find that I want that six-nine,-0.3818,sub-055,negative,JLAW,1021,1,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
Chinese Satellite,They were screaming right back from what I remember When you said I will never be your vegetable,-0.3818,sub-053,negative,KWAL,1,1,Y,0.475,4,4,younger,18,Female,self,NA,,NA,1
All Caps,"Don't talk about my moms yo Sometimes he rhyme quick sometimes he rhyme slow Or vice versa Whip up a slice of nice verse pie Hit it on the first try
Villain the worst guy Spot hot tracks like spot a pair of fat asses Shots of the scotch from out of square shot glasses And he won't stop 'til he got the masses And show 'em what they know not through flows of hot ",-0.3637,sub-059,negative,TBOY,1081,5,Y,513.475,4,4,younger,18,Male,self,NA,,NA,19
Ashes to Ashes,Ashes to ashes funk to funky We know Major Tom's a junkie Strung out in heaven's high Hitting an all-time low,-0.3612,sub-029,negative,EHER,901,3,Y,427.975,4,4,older,62,Male,self,NA,,NA,16
Go Your Own Way,You can go your own way Go your own way You can call it Another lonely day You can go your own way Go your own way Tell me why,-0.3612,sub-076,negative,SSHA,61,2,Y,28.975,4,4,younger,23,Female,self,NA,,NA,2
Violent Crimes,Colors drippin' off _ is savage _ is monsters _ is pimps _ is players 'Til _ have daughters now they precautious Father forgive me I'm scared of the karma 'Cause now I see women as somethin' to nurture,-0.34,sub-063,negative,AWIL,1081,4,Y,513.475,4,4,younger,19,Female,self,NA,,NA,19
Moon River,Two drifters off to see the world There's such a crazy world to see We're all,-0.34,sub-001,negative,FKEE,181,2,Y,85.975,4,4,older,56,Male,other,NA,,NA,4
Bibanke,That's crazy,-0.34,sub-070,negative,OEGB,361,2,Y,171.475,4,4,younger,18,Female,self,NA,,NA,7
Night Changes,We're only gettin' older baby And I've been thinkin' about it lately Does it ever drive you crazy Just how fast the night changes Everything that you've ever dreamed of,-0.34,sub-064,negative,STHO,721,3,Y,342.475,4,4,younger,21,Female,self,NA,,NA,13
Soldier,I want you to stay oh stay oh Stay with me a little longer Why don't you stay Oh stay oh Don't you wanna be my soldier Now would you fight for me D-d-d-die for me,-0.3182,sub-052,negative,KPLU,1081,4,Y,513.475,4,4,younger,19,Female,self,NA,,NA,19
Rise,When when the fire's at my feet again And the vultures all start circling They're whispering You're out of time,-0.3182,sub-070,negative,OEGB,901,3,Y,427.975,3,4,younger,18,Female,self,NA,,NA,16
Clarity ,If our love is tragedy why are you my remedy If our love's insanity why are you my clarity,-0.296,sub-049,negative,GWAI,61,6,Y,28.975,4,4,younger,18,Male,self,NA,,NA,2
Someone To You,I never had nobody and no road home I wanna be somebody to someone And if the sun starts setting the sky goes cold Then if the clouds get heavy and start to fall I really need somebody to call my own I wanna be somebody to someone,-0.296,sub-051,negative,KCHU,961,6,Y,456.475,4,4,younger,18,Female,self,NA,,NA,17
Hey Stephen,if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm I can't help myself,-0.2901,sub-054,negative,ZCAR,661,5,Y,313.975,4,4,younger,18,Female,self,NA,,NA,12
Tomorrow,good But tonight I'm gonna give in one last time Rock you strong in these arms of mine Forget all the regrets that are bound to follow We're like fire and gasoline I'm no good for you,-0.2867,sub-011,negative,CWEI,901,6,Y,427.975,4,4,older,78,Male,self,NA,,NA,16
Juicy 2,It was all a dream I used to read Word Up magazine Salt-n-Pepa and Heavy D up in the limousine Hangin' pictures on my wall Every Saturday Rap Attack Mr. Magic Marley Marl I let my tape rock 'til my tape popped Smokin' weed in Bambu sippin' on Private Stock Way back,-0.2732,sub-067,negative,CNOR,1261,5,Y,598.975,4,4,younger,18,Male,self,NA,,NA,22
White Rabbit,When the men on the chessboard Get up and tell you where to go And you've just had some kind of mushroom And your mind is moving low Go ask Alice,-0.2732,sub-015,negative,EROS,361,6,Y,171.475,4,4,older,58,Male,self,NA,,NA,7
360,I'll be waiting I'll be We still live in yesterday Many today are wasted away But nevertheless is never late Oh,-0.2732,sub-070,negative,OEGB,121,1,Y,57.475,4,4,younger,18,Female,self,NA,,NA,3
Juice,Heard you say I'm not the baddest bitch you lie It ain't my fault that I'm out here getting loose Gotta blame it on the Goose Gotta blame it on my juice baby It ain't my fault that I'm out here making news I'm the pudding in the proof Gotta blame it on my juice,-0.2292,sub-066,negative,CKOB,721,4,Y,342.475,4,4,younger,18,Female,self,NA,,NA,13
Ode to Billie Joe,I was out choppin' cotton and my brother was balin' hay And at dinner time we stopped and walked back to the house to eat And mama hollered out the back door y'all remember ,-0.2263,sub-019,negative,DFAI,961,3,Y,456.475,4,4,older,66,Female,self,NA,,NA,17
That's How I Got to Memphis,If you tell me that she's not here I'll follow the trail of her tears That's how I got to Memphis That's how I got to Memphis,-0.2263,sub-001,negative,FKEE,961,6,Y,456.475,4,4,older,56,Male,other,NA,,NA,17
Overthinker,We confuse signs With the real world,-0.2263,sub-057,negative,IZIK,121,2,Y,57.475,4,4,younger,23,Male,self,NA,,NA,3
Falling,And I can't take it back I can't unpack the baggage you left What am I now What am I now What if I'm someone I don't want around I'm falling,-0.2076,sub-065,negative,MBIC,1201,3,Y,570.475,4,4,younger,18,Female,self,NA,,NA,21
Never Seen the Rain,But you've never No you've never seen the rain And it gets you down But that's okay You've been pushed 'round You feel the pain And when you fall Just lean on me 'Cause you've never known,-0.1945,sub-075,negative,ETIN,61,6,Y,28.975,4,4,younger,23,Female,self,NA,,NA,2
Steam Powered Aereo Plane,"Well I dreamt I went away On a steam powered aereoplane I went and I stayed and
I damn near didn't come back again And I didn't go very fast On a steam powered areoplane Oh the wheel went around and up and down And inside and then back again Sittin' in a 747 just a watchin' them clouds roll",-0.1531,sub-039,negative,ELAR,1021,3,Y,484.975,4,4,older,61,Male,self,NA,,NA,18
Footloose,Footloose footloose footloose Kick off your Sunday shoes Please Louise Pull me up off my knees Jack get back C'mon before we crack Lose your blues,-0.1027,sub-040,negative,BFOR,961,4,Y,456.475,4,4,older,76,Female,self,NA,,NA,17
Just Friends,Girl I know this might seem strange But let me know if I'm out of order for stepping to you this way See I've been watching you for a while And I just gotta let you know that I'm really,-0.1027,sub-060,negative,MCHI,1321,4,Y,627.475,4,4,younger,18,Female,self,NA,,NA,23
Spicy,Get right here and now Yeah tell me Who tryna who tryna go go Who gon' drop it down like there's money on the floor Who tryna who tryna bust it for the dollars Who tryna freak bring their homegirl and run it She my spicy lil' mama she let me bust her piñata,-0.0772,sub-056,negative,ASUR,481,5,Y,228.475,4,4,younger,20,Female,self,NA,,NA,9
Beauty & the Beatitudes,If we remember others know how we turn left how we turn 'round And if we're damned forever to look at things the way they are We're sure they never remember as futures rise whose future falls,-0.0772,sub-016,negative,TCIE,661,2,Y,313.975,4,4,older,60,Male,self,NA,,NA,12
Eet,Whether or not to steal He opens a window Just to feel the chill He hears that outside A small boy just started to cry 'Cause it's his turn But his brother ,-0.0608,sub-008,negative,LDIR,1,5,Y,0.475,4,4,older,63,Female,self,NA,,NA,1
It Doesn't Matter Why,It doesn't matter why we're known It doesn't matter why we're known It doesn't matter why we're known We're just known,-0.0572,sub-029,negative,EHER,721,6,Y,342.475,4,4,older,62,Male,self,NA,,NA,13
Angeline,"Angeline won't you listen to me, please I don't know what I did baby I'm just tryna' live baby So Angeline no I'm not tryna' cause a scene",-0.046,sub-049,negative,GWAI,181,1,Y,85.975,4,4,younger,18,Male,self,NA,,NA,4
Cruel,loopin' 'round like CCTV In all this bitterness you stay so sweet It's such a cruel world Savin' all my love for you girl It's such a cruel world,-0.041,sub-052,negative,KPLU,1021,6,Y,484.975,4,4,younger,19,Female,self,NA,,NA,18
Since You've Been Gone,"Baby, baby, sweet baby sweet sweet baby I didn't mean to run you away It was pride on my lips But not in my heart To say the things that made you stray And I mean",0.0382,sub-030,positive,LJAC,121,1,Y,57.475,4,4,older,68,Female,self,NA,,NA,3
Juicy,"for weeks Sold-out seats to hear Biggie Smalls speak Livin' life without fear
Puttin' five karats in my baby girl's ear Lunches brunches interviews by the pool Considered a fool 'cause I dropped out of high school Stereotypes of a black male misunderstood And it's still all good",0.0588,sub-061,positive,JCLA,961,3,Y,456.475,4,4,younger,19,Female,self,NA,,NA,17
No Weapon,No weapon formed against me shall prosper It won't work It won't work No weapon,0.0595,sub-018,positive,GCAS,481,4,Y,228.475,4,4,older,71,Male,self,NA,,NA,9
Stacy,You can call me anything oh anything you want Just don't call me yours Just don't call me yours,0.0772,sub-075,positive,ETIN,1381,4,Y,655.975,4,4,younger,23,Female,self,NA,,NA,24
What Are You Doing The Rest of Your Life,I want to see your face in every kind of light In fields of gold and forests of the night And when you stand,0.0772,sub-073,positive,NLEN,361,5,Y,171.475,4,4,older,79,Female,self,NA,Y,NA,7
I Never Can Say Goodbye,Never can say goodbye No no no no I Never can say goodbye Even though the pain and heartache Seems to follow me wherever I go,0.0936,sub-030,positive,LJAC,1081,3,Y,513.475,4,4,older,68,Female,self,NA,,NA,19
Tomorrow Never Knows,That love is all That love is everyone It is knowing It is knowing That ignorance and hate May mourn ,0.1027,sub-012,positive,MBLO,181,5,Y,85.975,4,4,older,66,Male,self,NA,,NA,4
Burn,"bein' with someone else But you know that it's over, we knew it was through Let it burn Let it burn let it burn Let it burn gotta let it burn Sendin' pages I ain't supposed to Got somebody here but I want you 'Cause the feelin' ain't the same Find myself callin' her your name Ladies tell me do you understand",0.1154,sub-060,positive,MCHI,601,1,Y,285.475,4,4,younger,18,Female,self,NA,,NA,11
Gimme Gimme Gimme,Movie stars Find the end of the rainbow with a fortune to win It's so different from the world I'm living in Tired of TV I open the window and I gaze into the night But there's nothing there to see,0.1154,sub-054,positive,ZCAR,1,1,Y,0.475,3,2,younger,18,Female,self,NA,,NA,1
Sultans of Swing,Well now you step inside but you don't see too many faces Coming in out of the rain they hear the jazz go down Competition in other places,0.1406,sub-003,positive,JSCH,1321,1,Y,627.475,NA,NA,older,67,Male,other,NA,,NA,23
Stomp,"I'm gonna tell you what I'm gonna do It makes me want to
Stomp Makes me clap my hands makes me want to dance and
Stomp My brother can't you see I got the victory",0.1531,sub-018,positive,GCAS,781,5,Y,370.975,4,4,older,71,Male,self,NA,,NA,14
Easy On Me,There ain't no room for things to change When we are both so deeply stuck in our ways You can't deny how hard I have tried,0.1652,sub-047,positive,TSTA,1261,1,Y,598.975,4,4,older,62,Male,self,NA,Y,NA,22
Mr. Brightside,choking on your alibis But it's just the price I pay destiny is calling me Open up my eager eyes 'cause I'm Mr. Brightside,0.1655,sub-042,positive,AZHA,601,6,Y,285.475,4,4,younger,18,Female,self,NA,,NA,11
Happier Than Ever,don't try to make me feel bad I could talk about every time that you showed up on time But I'd have an empty line 'cause you never did Never paid any mind to my mother or friends So I shut 'em all out for you,0.1779,sub-061,positive,JCLA,1081,2,Y,513.475,4,4,younger,19,Female,self,NA,,NA,19
Detroit Rock City,I feel uptight on a Saturday night Nine o' clock the radio's the only light I hear my song and it pulls me through Comes on strong tells me what I got to do,0.1779,sub-028,positive,SCAE,181,1,Y,85.975,4,4,older,54,Male,self,NA,,NA,4
Thanks for the Memories,"for the memory Of faults that you forgave, rainbows on a wave And stockings in the basin when a fellow needs a shave I thank you so much",0.2023,sub-019,positive,DFAI,1081,6,Y,513.475,4,4,older,66,Female,self,NA,,NA,19
Mystical Beginning,I admit I'm a shark circling In the dark for blood Let me get high off you high off you I've been sharpening my teeth Comin' up from underneath,0.2023,sub-057,positive,IZIK,241,4,Y,114.475,4,4,younger,23,Male,self,NA,,NA,5
Movement,So move me baby Shake like the bough of a willow tree You do it naturally Move me baby So move me baby,0.2023,sub-076,positive,SSHA,961,3,Y,456.475,4,4,younger,23,Female,self,NA,,NA,17
Alabaster Box,don't be angry if I wash His feet with my tears And I dry them with my hair My hair You weren't there ,0.2028,sub-018,positive,GCAS,1,1,Y,0.475,4,4,older,71,Male,self,NA,,NA,1
Please Come Home for Christmas,So won't you tell me you'll never more roam Christmas and New Year's will find you home There'll be no more sorrow,0.2189,sub-056,positive,ASUR,1141,3,Y,541.975,4,4,younger,20,Female,self,NA,,NA,20
Don't Stop Til You Get Enough,"Keep on with the force,don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Touch me",0.2319,sub-036,positive,GSHA,421,4,Y,199.975,4,4,older,66,Female,self,NA,,NA,8
Long Distance Run Around,I still remember the dream there I still remember the time you said goodbye,0.25,sub-006,positive,GHER,721,5,Y,342.475,3,3,older,66,Male,self,NA,,NA,13
Freewheel Burning,Born to lead at breakneck speed With high octane we're spitting flames Freewheel burning Freewheel burning On we catapult,0.25,sub-028,positive,SCAE,781,6,Y,370.975,4,4,older,54,Male,self,NA,,NA,14
Good Life,"We put the bad in the past, now we alright Eazy Ayy ayy ayy ayy Kehlani I got you Ayy yeah And it's a feelin' that I can't explain I can't explain How you make it and your team still stay the same Stay down from the jump and they never change Man this a moment I could never trade yeah never trade I told my moms not to stress no more",0.2575,sub-069,positive,OKHE,1081,3,Y,513.475,4,4,younger,23,Male,self,NA,,NA,19
Fire,I call it by its first name We were we were never gonna catch fire We'd've burned up in the flames Long before they ever rose up higher,0.2584,sub-053,positive,KWAL,901,3,Y,427.975,4,4,younger,18,Female,self,NA,,NA,16
What'd I Say,What'd I say All right Well tell me what'd I say Tell me what'd I say right now Tell me what'd I say Tell me what'd I say right now Tell me,0.2732,sub-037,positive,AEHR,121,4,Y,57.475,4,4,older,60,Male,self,NA,Y,NA,3
Space Song,Tender is the night For a broken heart Who will dry your eyes When it falls,0.2732,sub-045,positive,CZAL,1,4,Y,0.475,4,4,younger,18,Female,self,NA,,NA,1
Snow Hey Oh,Deep beneath the cover of another perfect wonder Where it's so white as snow Privately divided by a world so undecided And there's nowhere to go,0.2979,sub-076,positive,SSHA,1081,4,Y,513.475,4,4,younger,23,Female,self,NA,,NA,19
Ghost,I'll settle for the ghost of you I miss you more than life more than life yeah And if you can't be next to me Your memory is ecstasy oh I miss you more than life I miss you ,0.3102,sub-056,positive,ASUR,1201,2,Y,570.475,4,4,younger,20,Female,self,NA,,NA,21
Box of Rain,What do you want me to do To do for you to see you through It's all a dream we dreamed One afternoon long ago,0.3182,sub-039,positive,ELAR,541,2,Y,256.975,4,4,older,61,Male,self,NA,,NA,10
Perfect Strangers,it's painless We act like we strangers I just don't know who we are anymore I'm I'm not supposed to be here 'Cause love don't live here But I'm here and she here She tell me Stay all night She just want a refill And then she want to start fights 'Bout what about how she feel,0.3182,sub-049,positive,GWAI,421,5,Y,199.975,4,4,younger,18,Male,self,NA,,NA,8
Copperline,One Summer night on the Copperline Slip away past supper time Wood smoke and moonshine Down on Copperline One time I saw my daddy dance Watched him moving like a man ,0.3612,sub-019,positive,DFAI,1141,2,Y,541.975,4,4,older,66,Female,self,NA,,NA,20
Chamber of Reflection,Spend some time away Getting ready for the day you're born again Spend some time,0.3612,sub-057,positive,IZIK,421,1,Y,199.975,4,4,younger,23,Male,self,NA,,NA,8
I'll Work for Your Love,Pour me a drink Theresa in one of those glasses you dust off And I'll watch the bones in your back like the Stations of the Cross,0.3612,sub-008,positive,LDIR,1021,6,Y,484.975,4,4,older,63,Female,self,NA,,NA,18
Georgia,And I could easily lose my mind The way you kiss me will work each time Pulling me back into the flames And I'm burning up again I'm burning up And I I never understood,0.3612,sub-076,positive,SSHA,601,6,Y,285.475,4,4,younger,23,Female,self,NA,,NA,11
I Have Nothing,I have nothing nothing nothing Don't make me close one more door I don't want to hurt anymore,0.3724,sub-056,positive,ASUR,1261,6,Y,598.975,4,4,younger,20,Female,self,NA,,NA,22
Stay,When I'm away from you I miss your touch ooh You're the reason I believe in love It's been difficult for me to trust ooh And I'm afraid that I'ma fuck it up Ain't no way that I can leave you stranded 'Cause you ain't never left me empty-handed,0.3794,sub-006,positive,GHER,1081,4,Y,513.475,1,1,older,66,Male,self,NA,,NA,19
Stay,When I'm away from you I miss your touch ooh You're the reason I believe in love It's been difficult for me to trust ooh And I'm afraid that I'ma fuck it up Ain't no way that I can leave you stranded 'Cause you ain't never left me empty-handed,0.3794,sub-064,positive,STHO,961,6,Y,456.475,4,4,younger,21,Female,self,NA,,NA,17
Immigrant Song,We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed,0.3818,sub-001,positive,FKEE,661,4,Y,313.975,3,4,older,56,Male,other,NA,,NA,12
Industry Baby,"I told you long ago, on the road I got what they waitin' for I don't run from nothin', dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top I wanna hear you say",0.3847,sub-043,positive,LGAR,721,3,Y,342.475,4,4,younger,19,Female,self,NA,,NA,13
Industry Baby,I told you long ago on the road I got what they waitin' for I don't run from nothin' dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top,0.3847,sub-043,positive,LGAR,721,3,Y,342.475,4,4,younger,19,Female,self,NA,,NA,13
Industry Baby,"I told you long ago, on the road I got what they waitin' for I don't run from nothin', dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top I wanna hear you say",0.3847,sub-064,positive,STHO,1201,2,Y,570.475,4,4,younger,21,Female,self,NA,,NA,21
Industry Baby,I told you long ago on the road I got what they waitin' for I don't run from nothin' dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top,0.3847,sub-064,positive,STHO,1201,2,Y,570.475,4,4,younger,21,Female,self,NA,,NA,21
Industry Baby,"I told you long ago, on the road I got what they waitin' for I don't run from nothin', dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top I wanna hear you say",0.3847,sub-054,positive,ZCAR,1021,4,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
Industry Baby,I told you long ago on the road I got what they waitin' for I don't run from nothin' dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top,0.3847,sub-054,positive,ZCAR,1021,4,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
At Last,"At last, my love has come along My lonely days",0.4019,sub-032,positive,ASHA,721,3,Y,342.475,4,4,older,70,Female,self,NA,,NA,13
Comfortably Numb,There is no pain you are receding A distant ship smoke on the horizon You are only coming through in waves,0.4023,sub-029,positive,EHER,61,5,Y,28.975,2,2,older,62,Male,self,NA,,NA,2
Comfortably Numb,There is no pain you are receding A distant ship smoke on the horizon You are only coming through in waves,0.4023,sub-003,positive,JSCH,61,3,Y,28.975,NA,NA,older,67,Male,other,NA,,NA,2
Rocket Man,I think it's gonna be a long long time 'Til touchdown brings me 'round again to find I'm not the man they think I am at home Oh no no no I'm a rocket man,0.4168,sub-039,positive,ELAR,1381,1,Y,655.975,4,4,older,61,Male,self,NA,,NA,24
Finesse,We out here drippin' in finesse It don't make no sense Out here drippin' in finesse You know it you know it We out here drippin' in finesse It don't make no sense Out here drippin' in finesse You know it you know it,0.4168,sub-030,positive,LJAC,781,2,Y,370.975,4,4,older,68,Female,self,NA,,NA,14
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-037,positive,AEHR,1021,10,Y,484.975,2,1,older,60,Male,other,NA,Y,NA,18
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-068,positive,ALIU,1141,10,Y,541.975,3,3,younger,18,Female,other,NA,,NA,20
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-046,positive,APOP,1201,10,Y,570.475,3,2,younger,18,Female,other,NA,,NA,21
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-032,positive,ASHA,661,10,Y,313.975,3,1,older,70,Female,other,NA,,NA,12
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-056,positive,ASUR,1021,10,Y,484.975,2,1,younger,20,Female,other,NA,,NA,18
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-063,positive,AWIL,61,10,Y,28.975,2,1,younger,19,Female,other,NA,,NA,2
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-042,positive,AZHA,361,10,Y,171.475,3,3,younger,18,Female,other,NA,,NA,7
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-040,positive,BFOR,841,10,Y,399.475,2,1,older,76,Female,other,NA,,NA,15
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-066,positive,CKOB,1261,10,Y,598.975,3,2,younger,18,Female,other,NA,,NA,22
Turning Page,Every kiss is a cursive line Every touch is a redefining phrase,0.4215,sub-066,positive,CKOB,121,6,Y,57.475,4,4,younger,18,Female,self,NA,,NA,3
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-067,positive,CNOR,841,10,Y,399.475,0,1,younger,18,Male,other,NA,,NA,15
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-045,positive,CZAL,1021,10,Y,484.975,2,2,younger,18,Female,other,NA,,NA,18
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-022,positive,DCAT,361,10,Y,171.475,3,2,older,89,Female,other,NA,,NA,7
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-019,positive,DFAI,121,10,Y,57.475,4,1,older,66,Female,other,NA,,NA,3
Nevermind,What if I left and it made no sense And you tell your friends And they hold your hands Baby nevermind nevermind Nevermind nevermind What if I left and it made no sense And you tell your friends And they hold your hands Baby nevermind nevermind,0.4215,sub-019,positive,DFAI,721,1,Y,342.475,4,4,older,66,Female,self,NA,,NA,13
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-029,positive,EHER,421,10,Y,199.975,2,1,older,62,Male,other,NA,,NA,8
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-039,positive,ELAR,181,10,Y,85.975,3,2,older,61,Male,other,NA,,NA,4
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-071,positive,EMCG,541,10,Y,256.975,3,2,younger,18,Female,other,NA,,NA,10
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-015,positive,EROS,781,10,Y,370.975,2,2,older,58,Male,other,NA,,NA,14
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-075,positive,ETIN,1261,10,Y,598.975,2,3,younger,23,Female,other,NA,,NA,22
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-001,positive,FKEE,1021,10,Y,484.975,3,2,older,56,Male,other,NA,,NA,18
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-018,positive,GCAS,61,10,Y,28.975,4,4,older,71,Male,other,NA,,NA,2
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-006,positive,GHER,181,10,Y,85.975,4,2,older,66,Male,other,NA,,NA,4
Michelle,I need to I need to I need to I need to make you see Oh what you mean to me Until I do I'm hoping you will know what I mean,0.4215,sub-006,positive,GHER,541,6,Y,256.975,1,2,older,66,Male,self,NA,,NA,10
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-036,positive,GSHA,901,10,Y,427.975,2,1,older,66,Female,other,NA,,NA,16
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-049,positive,GWAI,241,10,Y,114.475,2,2,younger,18,Male,other,NA,,NA,5
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-057,positive,IZIK,301,10,Y,142.975,2,2,younger,23,Male,other,NA,,NA,6
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-061,positive,JCLA,661,10,Y,313.975,2,1,younger,19,Female,other,NA,,NA,12
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-021,positive,JKAY,1201,10,Y,570.475,3,3,older,69,Male,other,NA,,NA,21
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-055,positive,JLAW,181,10,Y,85.975,3,2,younger,18,Female,other,NA,,NA,4
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-010,positive,JPRE,601,10,Y,285.475,3,3,older,75,Female,other,NA,,NA,11
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-003,positive,JSCH,601,10,Y,285.475,NA,NA,older,67,Male,other,NA,,NA,11
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-051,positive,KCHU,241,10,Y,114.475,2,2,younger,18,Female,other,NA,,NA,5
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-052,positive,KPLU,301,10,Y,142.975,2,1,younger,19,Female,other,NA,,NA,6
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-053,positive,KWAL,841,10,Y,399.475,3,2,younger,18,Female,other,NA,,NA,15
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-008,positive,LDIR,181,10,Y,85.975,3,2,older,63,Female,other,NA,,NA,4
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-043,positive,LGAR,121,10,Y,57.475,0,1,younger,19,Female,other,NA,,NA,3
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-005,positive,LGEN,541,10,Y,256.975,3,2,older,64,Female,other,NA,,NA,10
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-030,positive,LJAC,541,10,Y,256.975,3,2,older,68,Female,other,NA,,NA,10
Blowin in the Wind,how many times can a man turn his head And pretend that he just doesn't see The answer my friend is blowin' in the wind The answer,0.4215,sub-023,positive,LOLE,721,3,Y,342.475,4,4,older,73,Female,self,NA,Y,NA,13
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-023,positive,LOLE,421,10,Y,199.975,2,0,older,73,Female,other,NA,Y,NA,8
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-048,positive,LWIE,1321,10,Y,627.475,2,1,younger,18,Female,other,NA,,NA,23
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-065,positive,MBIC,661,10,Y,313.975,3,3,younger,18,Female,other,NA,,NA,12
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,0.4215,sub-012,positive,MBLO,961,10,Y,456.475,3,2,older,66,Male,other,NA,,NA,17
